id,text,language,indicator,present
177,I try not to talk about the incident and it is getting worse.,en,AVOIDANCE,1
178,"Recently, Sudden sounds make me extremely frightened",en,STARTLE_RESPONSE,1
179,My sleep has become very disturbed lately.,en,SLEEP_DISTURBANCE,1
180,I keep feeling that I don't want to think about what happened and this is causing me a lot of distress.,en,AVOIDANCE,1
181,"For the past few days, I have been sleeping poorly lately",en,SLEEP_DISTURBANCE,1
182,"Lately, I don't feel protected anymore lately.",en,REDUCED_SENSE_OF_SAFETY,1
183,"Right now, I regularly wake up after nightmares",en,NIGHTMARES,1
184,"Since the incident, I keep checking whether someone is nearby and it is affecting my daily life.",en,HYPERVIGILANCE,1
185,I keep feeling that I dream about the incident repeatedly and this is causing me a lot of distress.,en,NIGHTMARES,1
186,"Recently, I continue to struggle emotionally after the event these days.",en,PERSISTENT_DISTRESS,1
187,I have become emotionally distant and it is affecting my daily life.,en,DETACHMENT,1
188,"For the past few days, I become frightened very quickly these days.",en,STARTLE_RESPONSE,1
189,I have noticed that My nightmares remind me of the experience and this is causing me a lot of distress.,en,NIGHTMARES,1
190,I keep feeling that I get startled very easily,en,STARTLE_RESPONSE,1
191,I keep feeling that I keep having nightmares about what happened and it is getting worse.,en,NIGHTMARES,1
192,I keep feeling that I feel separated from the people I care about and it is getting worse.,en,DETACHMENT,1
193,"At the moment, I am always expecting something bad to happen and this is causing me a lot of distress.",en,HYPERVIGILANCE,1
194,"Lately, I feel like I must always stay alert and I am struggling to cope.",en,HYPERVIGILANCE,1
195,"For the past few days, Sudden sounds make me extremely frightened these days.",en,STARTLE_RESPONSE,1
196,"For the past few days, My sleep pattern has changed since what happened and I find it difficult to control.",en,SLEEP_DISTURBANCE,1
197,I keep feeling that I feel like I must always stay alert and I don't know how to deal with it.,en,HYPERVIGILANCE,1
198,"Lately, My mind keeps wandering when I try to study and it is affecting my daily life.",en,DIFFICULTY_CONCENTRATING,1
199,"Since the incident, I am constantly looking over my shoulder and I don't know how to deal with it.",en,HYPERVIGILANCE,1
200,"At the moment, The memories return even when I don't want them",en,INTRUSIVE_MEMORY,1
201,"Since the incident, I feel emotionally numb and it is getting worse.",en,EMOTIONAL_NUMBNESS,1
202,"Recently, I cannot stop remembering the incident lately.",en,INTRUSIVE_MEMORY,1
203,"Right now, I keep checking whether someone is nearby lately.",en,HYPERVIGILANCE,1
204,I have noticed that I keep checking whether someone is nearby and it has become difficult to manage.,en,HYPERVIGILANCE,1
205,"Right now, I cannot relax because I am always alert and it is affecting my daily life.",en,HYPERVIGILANCE,1
206,I have noticed that My mind keeps wandering when I try to study lately.,en,DIFFICULTY_CONCENTRATING,1
207,"At the moment, I keep having nightmares about what happened these days.",en,NIGHTMARES,1
208,"Lately, My sleep pattern has changed since what happened and I don't know how to deal with it.",en,SLEEP_DISTURBANCE,1
209,I have become emotionally distant lately.,en,DETACHMENT,1
210,I keep waking up during the night and this is causing me a lot of distress.,en,SLEEP_DISTURBANCE,1
211,"Right now, I don't feel connected to my family anymore these days.",en,DETACHMENT,1
212,I react strongly to sudden movements and it is getting worse.,en,STARTLE_RESPONSE,1
213,"For the past few days, I am always expecting something bad to happen and it is getting worse.",en,HYPERVIGILANCE,1
214,"For the past few days, The emotional pain is still affecting me and I don't know how to deal with it.",en,PERSISTENT_DISTRESS,1
215,"At the moment, It is difficult for me to pay attention and it is getting worse.",en,DIFFICULTY_CONCENTRATING,1
216,I am constantly watching for danger and I don't know how to deal with it.,en,HYPERVIGILANCE,1
217,"Lately, I feel disconnected from people around me and I don't know how to deal with it.",en,DETACHMENT,1
218,"Lately, I avoid discussing the experience with others and I don't know how to deal with it.",en,AVOIDANCE,1
219,"Right now, I feel unsafe even when nothing is happening these days.",en,HYPERVIGILANCE,1
220,"Since the incident, I feel vulnerable wherever I go lately.",en,REDUCED_SENSE_OF_SAFETY,1
221,"Right now, I have repeated memories of what happened and it has become difficult to manage.",en,INTRUSIVE_MEMORY,1
222,"Right now, I feel like I am disconnected from everything and I find it difficult to control.",en,DETACHMENT,1
223,I have noticed that I regularly wake up after nightmares and I am struggling to cope.,en,NIGHTMARES,1
224,I have noticed that My sleep has become very disturbed and it is getting worse.,en,SLEEP_DISTURBANCE,1
225,I keep feeling that I dream about the incident repeatedly and it has become difficult to manage.,en,NIGHTMARES,1
226,"Lately, I feel like I have shut down emotionally and I find it difficult to control.",en,EMOTIONAL_NUMBNESS,1
227,"Lately, I have disturbing dreams related to what happened these days.",en,NIGHTMARES,1
228,"At the moment, I feel upset whenever I think about what happened and it is getting worse.",en,PERSISTENT_DISTRESS,1
229,"Since the incident, Memories of what happened keep coming back and it is getting worse.",en,INTRUSIVE_MEMORY,1
230,"Right now, I feel separated from the people I care about and I don't know how to deal with it.",en,DETACHMENT,1
231,I feel that I feel like I am disconnected from everything and it has become difficult to manage.,en,DETACHMENT,1
232,"Lately, I am constantly looking over my shoulder and I don't know how to deal with it.",en,HYPERVIGILANCE,1
233,"Right now, I keep waking up during the night lately.",en,SLEEP_DISTURBANCE,1
234,I feel that I cannot stop remembering the incident and I am struggling to cope.,en,INTRUSIVE_MEMORY,1
235,"Right now, I avoid discussing the experience with others and I am struggling to cope.",en,AVOIDANCE,1
236,I feel that My thoughts make it difficult to concentrate and I am struggling to cope.,en,DIFFICULTY_CONCENTRATING,1
237,I feel emotionally numb lately.,en,EMOTIONAL_NUMBNESS,1
238,"For the past few days, I feel disconnected from people around me",en,DETACHMENT,1
239,"At the moment, I avoid discussing the experience with others",en,AVOIDANCE,1
240,I keep feeling that I am easily startled by people approaching me and it is affecting my daily life.,en,STARTLE_RESPONSE,1
241,"For the past few days, I don't want to think about what happened and I am struggling to cope.",en,AVOIDANCE,1
242,I keep feeling that My thoughts make it difficult to concentrate and this is causing me a lot of distress.,en,DIFFICULTY_CONCENTRATING,1
243,I have noticed that I keep reliving parts of the experience in my mind and I don't know how to deal with it.,en,INTRUSIVE_MEMORY,1
244,"Since the incident, My emotions feel empty lately.",en,EMOTIONAL_NUMBNESS,1
245,"For the past few days, The experience continues to cause me emotional pain these days.",en,PERSISTENT_DISTRESS,1
246,I feel separated from the people I care about and I find it difficult to control.,en,DETACHMENT,1
247,"Lately, I dream about the incident repeatedly and it has become difficult to manage.",en,NIGHTMARES,1
248,"Lately, I don't feel protected anymore and I find it difficult to control.",en,REDUCED_SENSE_OF_SAFETY,1
249,I feel separated from the people I care about and I am struggling to cope.,en,DETACHMENT,1
250,I keep feeling that I am constantly watching for danger and it is getting worse.,en,HYPERVIGILANCE,1
251,"Right now, I feel emotionally numb",en,EMOTIONAL_NUMBNESS,1
252,"Right now, The experience continues to cause me emotional pain and this is causing me a lot of distress.",en,PERSISTENT_DISTRESS,1
253,I keep feeling that I cannot stop remembering the incident and I don't know how to deal with it.,en,INTRUSIVE_MEMORY,1
254,I feel that I have not been able to recover emotionally lately.,en,PERSISTENT_DISTRESS,1
255,I feel that I don't feel connected to my family anymore lately.,en,DETACHMENT,1
256,I have noticed that I try to keep myself away from reminders of the incident and it is getting worse.,en,AVOIDANCE,1
257,"For the past few days, I feel emotionally empty most of the time and I find it difficult to control.",en,EMOTIONAL_NUMBNESS,1
258,"Recently, I become frightened very quickly these days.",en,STARTLE_RESPONSE,1
259,"For the past few days, I wake up from frightening dreams about the event and it is affecting my daily life.",en,NIGHTMARES,1
260,I have noticed that I feel emotionally numb and it is affecting my daily life.,en,EMOTIONAL_NUMBNESS,1
261,"For the past few days, I have become emotionally distant and it is getting worse.",en,DETACHMENT,1
262,"Lately, I constantly worry about my safety and I don't know how to deal with it.",en,REDUCED_SENSE_OF_SAFETY,1
263,"Recently, I regularly wake up after nightmares lately.",en,NIGHTMARES,1
264,"For the past few days, I continue to struggle emotionally after the event these days.",en,PERSISTENT_DISTRESS,1
265,"Lately, It is difficult for me to pay attention and it has become difficult to manage.",en,DIFFICULTY_CONCENTRATING,1
266,"At the moment, I feel unsafe even when nothing is happening these days.",en,HYPERVIGILANCE,1
267,"Right now, I try not to talk about the incident lately.",en,AVOIDANCE,1
268,"At the moment, I cannot concentrate since the incident and it is affecting my daily life.",en,DIFFICULTY_CONCENTRATING,1
269,"Recently, I still feel deeply upset about the incident and I am struggling to cope.",en,PERSISTENT_DISTRESS,1
270,I have noticed that I struggle to fall asleep and I am struggling to cope.,en,SLEEP_DISTURBANCE,1
271,I don't feel connected to my family anymore and it is getting worse.,en,DETACHMENT,1
272,"Since the incident, I am always expecting something bad to happen and it has become difficult to manage.",en,HYPERVIGILANCE,1
273,"Since the incident, The experience continues to cause me emotional pain lately.",en,PERSISTENT_DISTRESS,1
274,"At the moment, I cannot concentrate since the incident and it has become difficult to manage.",en,DIFFICULTY_CONCENTRATING,1
275,"Recently, The event keeps coming into my thoughts lately.",en,INTRUSIVE_MEMORY,1
276,"Since the incident, My thoughts make it difficult to concentrate and I am struggling to cope.",en,DIFFICULTY_CONCENTRATING,1
277,"Right now, I still feel deeply upset about the incident and it is getting worse.",en,PERSISTENT_DISTRESS,1
278,"At the moment, I feel disconnected from people around me and it is affecting my daily life.",en,DETACHMENT,1
279,"Recently, I continue to struggle emotionally after the event and I am struggling to cope.",en,PERSISTENT_DISTRESS,1
280,"Since the incident, I feel emotionally empty most of the time and I don't know how to deal with it.",en,EMOTIONAL_NUMBNESS,1
281,"Since the incident, I don't feel much of anything anymore",en,EMOTIONAL_NUMBNESS,1
282,I have noticed that It is difficult for me to pay attention and it is affecting my daily life.,en,DIFFICULTY_CONCENTRATING,1
283,"For the past few days, The experience continues to cause me emotional pain and this is causing me a lot of distress.",en,PERSISTENT_DISTRESS,1
284,I have noticed that I feel emotionally empty most of the time,en,EMOTIONAL_NUMBNESS,1
285,"Recently, I cannot relax because I am always alert and it is getting worse.",en,HYPERVIGILANCE,1
286,"Recently, I keep checking whether someone is nearby and it has become difficult to manage.",en,HYPERVIGILANCE,1
287,"For the past few days, I cannot relax because I am always alert",en,HYPERVIGILANCE,1
288,"Since the incident, I cannot relax because I am always alert and it is affecting my daily life.",en,HYPERVIGILANCE,1
289,I keep feeling that My nightmares remind me of the experience and I am struggling to cope.,en,NIGHTMARES,1
290,"For the past few days, I continue to struggle emotionally after the event lately.",en,PERSISTENT_DISTRESS,1
291,I keep feeling that I feel unsafe even when I am at home and I am struggling to cope.,en,REDUCED_SENSE_OF_SAFETY,1
292,"Recently, Unwanted memories of the incident keep appearing lately.",en,INTRUSIVE_MEMORY,1
293,"Right now, Unwanted memories of the incident keep appearing these days.",en,INTRUSIVE_MEMORY,1
294,"Since the incident, I have repeated memories of what happened and it has become difficult to manage.",en,INTRUSIVE_MEMORY,1
295,I have disturbing dreams related to what happened and I don't know how to deal with it.,en,NIGHTMARES,1
296,I feel that I feel disconnected from people around me and I don't know how to deal with it.,en,DETACHMENT,1
297,"Recently, I don't feel much of anything anymore and I don't know how to deal with it.",en,EMOTIONAL_NUMBNESS,1
298,I feel upset whenever I think about what happened and it has become difficult to manage.,en,PERSISTENT_DISTRESS,1
299,"Recently, I am constantly watching for danger and it has become difficult to manage.",en,HYPERVIGILANCE,1
300,"For the past few days, I have repeated memories of what happened",en,INTRUSIVE_MEMORY,1
